time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range
88064,521.36,5346,16,18.722866959999998,43,0.001498919063649211,2.734712600708008,-1.0538453318570788,-0.010256611950401413,798,0.9570021629333496,0.016874881,11.45591950416565,0.16236636513157895,0.25
90112,528.44,5345,16,21.713445839999995,44,0.001498919063649211,0.9050549268722534,-1.052485660502785,-0.0067719525188869355,817,0.9849529266357422,0.014591985,4.041347899719288,0.11492598684210527,0.25
92160,534.27,5257,17,23.229406119999993,45,0.001498919063649211,37.07716751098633,-1.0297050738805218,-0.011847392061578208,836,0.909405529499054,0.01402625,33.51924879299967,0.09485505756578948,0.25
94208,536.75,5219,18,26.093849699999996,46,0.001498919063649211,2.178765058517456,-1.0217606676252264,-0.013018109489501896,855,0.8391011357307434,0.02488746,12.464091177049436,0.08123458059210527,0.25
96256,543.02,5228,18,27.295604169999997,47,0.001498919063649211,41.23601150512695,-0.8764998179517294,-0.008092471496447137,874,0.6896880865097046,0.017747931,70.61858531048424,0.18225740131578946,0.25
98304,548.76,5232,18,28.271475779999996,48,0.001498919063649211,20.0802059173584,-1.0877329691460258,-0.013347987567325808,893,0.8257580995559692,0.012478715,75.1689735462791,0.05885074013157895,0.25
100352,542.97,5235,19,31.685990710000002,49,0.001498919063649211,5.179049015045166,-1.0377421904551356,-0.029298610737130634,912,0.703019380569458,0.011856221,31.490388136161002,0.06576377467105263,0.25
102400,546.65,5230,19,34.68880306,50,0.001498919063649211,8.754671096801758,-1.0230976719605296,-0.010052784854595206,931,0.8221589922904968,0.017183028,33.41431469038913,0.10338712993421052,0.25
104448,553.58,5235,19,39.16735036,51,0.001498919063649211,72.73062896728516,-0.9168109870270679,-0.010402037100376267,950,0.6641589403152466,0.01615214,133.67940196238067,0.07640316611842106,0.25
106496,552.47,5241,20,40.59524938,52,0.001498919063649211,47.553550720214844,-1.0169179051330215,-0.008156367405287088,969,0.6449921131134033,0.009664789,89.0592825914684,0.05489309210526316,0.25
108544,533.58,5204,20,31.53105334,53,0.001498919063649211,82.87767028808594,-0.9069490220985914,-0.011403604502495574,988,0.5638315677642822,0.01108247,129.4465531298989,0.06157483552631579,0.25
110592,516.39,5211,21,22.97396649,54,0.001498919063649211,65.89413452148438,-1.0189415455648774,-0.018140195976133998,1007,0.4125789999961853,0.012289133,285.4372827881261,0.04528166118421053,0.25
112640,514.97,5219,21,21.400366620000003,55,0.001498919063649211,99.46695709228516,-0.979633914012658,-0.007658701284335142,1026,0.1613941192626953,0.010155098,451.22218458276046,0.03690378289473684,0.25
